2003,"781,870"
2004,"780,699"
2005,"779,655"
2006,"782,928"
2007,"791,334"
2008,"798,673"
2009,"801,799"
2010,"805,235"
2011,"815,854"
2012,"826,103"
2013,"839,564"
2014,"848,186"
2015,"857,508"
2016,"866,583"
